Route,Stop_Name,Latitude,Longitude,,From_Stop,To_Stop,,,,Stop_Name
Limerick - Dublin,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Dublin Heuston ,,,,
Limerick - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Galway  - Ennis ,Galway (Ceannt) ,53.273766,-9.047075,,Galway (Ceannt) ,Oranmore ,,,,
Galway  - Ennis ,Oranmore ,53.27558,-8.946804,,Oranmore ,Athenry ,,,,
Galway  - Ennis ,Athenry ,53.30153,-8.748547,,Athenry ,Craughwell ,,,,
Galway  - Ennis ,Craughwell ,53.225817,-8.73576,,Craughwell ,Ardrahan ,,,,
Galway  - Ennis ,Ardrahan ,53.157044,-8.814752,,Ardrahan ,Gort ,,,,
Galway  - Ennis ,Gort ,53.066314,-8.815618,,Gort ,Ennis ,,,,
Galway  - Ennis ,Ennis ,52.839215,-8.97545,,,,,,,
,,,,,,,,,,
Ennis - Galway ,Ennis ,52.839215,-8.97545,,Ennis ,Gort ,,,,
Ennis - Galway ,Gort ,53.066314,-8.815618,,Gort ,Ardrahan ,,,,
Ennis - Galway ,Ardrahan ,53.157044,-8.814752,,Ardrahan ,Craughwell ,,,,
Ennis - Galway ,Craughwell ,53.225817,-8.73576,,Craughwell ,Athenry ,,,,
Ennis - Galway ,Athenry ,53.30153,-8.748547,,Athenry ,Oranmore ,,,,
Ennis - Galway ,Oranmore ,53.27558,-8.946804,,Oranmore ,Galway (Ceannt) ,,,,
Ennis - Galway ,Galway (Ceannt) ,53.273766,-9.047075,,,,,,,
,,,,,,,,,,
 Waterford - Limerick,Waterford (Plunkett) ,52.26625,-7.117956,,Waterford (Plunkett) ,Carrick-on-Suir ,,,,
 Waterford - Limerick,Carrick-on-Suir ,52.349096,-7.404866,,Carrick-on-Suir ,Clonmel ,,,,
 Waterford - Limerick,Clonmel ,52.360871,-7.698633,,Clonmel ,Cahir ,,,,
 Waterford - Limerick,Cahir ,52.377832,-7.922795,,Cahir ,Tipperary ,,,,
 Waterford - Limerick,Tipperary ,52.470091,-8.162103,,Tipperary ,Limerick Junction ,,,,
 Waterford - Limerick,Limerick Junction ,52.503684,-8.197243,,,,,,,
,,,,,,,,,,
Limerick -  Waterford,Limerick Junction ,52.503684,-8.197243,,Limerick Junction ,Tipperary ,,,,
Limerick -  Waterford,Tipperary ,52.470091,-8.162103,,Tipperary ,Cahir ,,,,
Limerick -  Waterford,Cahir ,52.377832,-7.922795,,Cahir ,Clonmel ,,,,
Limerick -  Waterford,Clonmel ,52.360871,-7.698633,,Clonmel ,Carrick-on-Suir ,,,,
Limerick -  Waterford,Carrick-on-Suir ,52.349096,-7.404866,,Carrick-on-Suir ,Waterford (Plunkett) ,,,,
Limerick -  Waterford,Waterford (Plunkett) ,52.26625,-7.117956,,,,,,,
,,,,,,,,,,
Limerick - Ballybrophy,Limerick (Colbert) ,52.658909,-8.624813,,Limerick (Colbert) ,Castleconnell ,,,,
Limerick - Ballybrophy,Castleconnell ,52.713293,-8.498101,,Castleconnell ,Birdhill ,,,,
Limerick - Ballybrophy,Birdhill ,52.766173,-8.441806,,Birdhill ,Nenagh ,,,,
Limerick - Ballybrophy,Nenagh ,52.860593,-8.195742,,Nenagh ,Cloughjordan ,,,,
Limerick - Ballybrophy,Cloughjordan ,52.936316,-8.0246,,Cloughjordan ,Roscrea ,,,,
Limerick - Ballybrophy,Roscrea ,52.960557,-7.794415,,Roscrea ,Ballybrophy ,,,,
Limerick - Ballybrophy,Ballybrophy ,52.900756,-7.600913,,,,,,,
,,,,,,,,,,
Ballybrophy - Limerick,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Roscrea ,,,,
Ballybrophy - Limerick,Roscrea ,52.960557,-7.794415,,Roscrea ,Cloughjordan ,,,,
Ballybrophy - Limerick,Cloughjordan ,52.936316,-8.0246,,Cloughjordan ,Nenagh ,,,,
Ballybrophy - Limerick,Nenagh ,52.860593,-8.195742,,Nenagh ,Birdhill ,,,,
Ballybrophy - Limerick,Birdhill ,52.766173,-8.441806,,Birdhill ,Castleconnell ,,,,
Ballybrophy - Limerick,Castleconnell ,52.713293,-8.498101,,Castleconnell ,Limerick (Colbert) ,,,,
Ballybrophy - Limerick,Limerick (Colbert) ,52.658909,-8.624813,,,,,,,
,,,,,,,,,,
Carlow - Dublin,Carlow ,52.840788,-6.922622,,Carlow ,Athy ,,,,
Carlow - Dublin,Athy ,53.129448,-7.001007,,Athy ,Kildare ,,,,
Carlow - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,
Carlow - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Sallins and Naas ,,,,
Carlow - Dublin,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Hazelhatch and Celbridge ,,,,
Carlow - Dublin,Hazelhatch and Celbridge ,53.323003,-6.523108,,Hazelhatch and Celbridge ,Adamstown ,,,,
Carlow - Dublin,Adamstown ,53.336295,-6.46911,,Adamstown ,Clondalkin Fonthill ,,,,
Carlow - Dublin,Clondalkin Fonthill ,53.33337,-6.406279,,Clondalkin Fonthill ,Park West and Cherry Orchard ,,,,
Carlow - Dublin,Park West and Cherry Orchard ,53.334009,-6.37876,,Park West and Cherry Orchard ,Dublin Heuston ,,,,
Carlow - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Waterford - Dublin,Waterford (Plunkett) ,52.26625,-7.117956,,Waterford (Plunkett) ,Thomastown ,,,,
Waterford - Dublin,Thomastown ,52.523049,-7.148997,,Thomastown ,Kilkenny (Macdonagh) ,,,,
Waterford - Dublin,Kilkenny (Macdonagh) ,52.654955,-7.24498,,Kilkenny (Macdonagh) ,Muine Bheag (Bagenalstown) ,,,,
